3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
this is a ball.,oh.,here's a piece of peanut butter and jelly.,that's a baby.,I'm not sure.,right.,can you get the chicken and the cheese and the peppers.,you need a ball.,"no, it's not.",the blue one.,there.,it was so funny.,and my mommy and daddy.,you're gonna get them.,the bird.,a robin.,can you put it back in the box.,oh you like playing with the dollhouse.,this is a little boy in a blue house.,it's called a hawk.,that's what we're gonna do.,let's go downstairs and put this on the couch.,the cat has a ball of yarn.,that's right.,we have a baby chicken.,well let's find out what's in the cupboard.,this is a picture of a puppy.,no we're going to the zoo.
yeah.,okay.,you're gonna have to eat the rest of it.,who's that.,okay here we go.,yeah that's a dog.,the bears are playing with the crayons.,I think he's a dog.,yes.,and this one is a crab.,okay.,this is a piglet.,yeah.,this is a giraffe.,you can't touch it.,yeah you're right.,and when we go to sleep.,what's the thing that goes bang.,there.,hey hey.,well we just gotta do it the same way we did it the first time.,no.,can you pick up the cat.,where's the dog.,I think there's one with spikes.,you know what's funny? he thinks he's so cool.,there's the dog in the pajamas.,oh I can't remember what it's called.
look at the cat.,it's the last bite.,oh look.,we can put it on the dog.,and this one.,do you want to put the chair in your bedroom.,there are lots of things in here.,where are you going.,we're going to read a story about animals.,where's the kitty kitty.,I'm sorry I don't know what you mean.,yeah.,do you want a bone for your dog?,she had an auntie.,can I have a cookie.,is that a duck.,it's not like it's like a worm.,what's the name of this bird.,oh you have a lot of cheese.,no.,that's a nice cat.,so they are actually really nice and they're nice to you.,what's this?,and then we have a train that can go through a tunnel.,it's called a hawk.,yeah.,you're talking to the bird.,look at the little tire.
look at the cat.,yogurt.,it's a doll.,a lion.,you're going to have a big family.,the baby is the baby.,where's the bedroom.,you're putting them in the box.,oh.,this is a cat.,oh that's a really good house.,that's a cat.,yeah.,there's a picture of your aunt.,you wanna go back to the beach.,see that.,that's some yummy.,yeah that's right.,it's good that you're not eating the candy.,he was flying over the rainbow.,here's a kitty.,you don't have a cat.,you know what she said.,what's this.,it's a penguin.,what's that.,do you see that bird.,yeah I got a car.
what is that.,you're gonna make them a nice dinner.,it's just a little toy.,that's a moo cow.,who's that.,look at the little ducks.,yes.,hey.,okay you see those little black spots in the middle of the animal.,that's a cat.,oh.,come here and I'll pet your cat.,you're a good boy.,you got any pictures of that.,oh look at that bird.,okay.,you have a big piece.,it's not a bird.,oh he's gonna be in trouble.,okay.,right now we're gonna get ready to go in the car.,and then what's another one.,yeah.,I think she's probably got some of your toys in there.,a hawk.,they're really big.,what a beautiful bird.,you know.
no no no no.,good job.,that's a bunny.,yeah.,oh that's not a bunny.,that's a good idea.,that's right.,you have a pig.,the duck.,a cat.,what do you see on the wall.,she's a cat.,I think it's a little boy.,what's that.,well.,yeah he's just a little duck.,I'm gonna make you some cookies.,the birds are singing.,I'm going to go and get a fork.,they're on the ceiling.,what is that.,do you want to read it.,that's a cat.,this one is a ball.,it's a big bird.,okay.,it's a robin.,oh we gotta put the car in the garage.
the cat.,mashed sweet potato.,you want to make the block tower.,you got a cat.,and Mommy and Daddy.,wanna do it.,yeah you can put it on the table.,okay.,you know what.,oh where's your cat.,that's my room.,the cat has the little white ears.,oh look.,oh.,that's a great idea.,it's a puppy.,you don't like this one.,oh.,how about an egg.,the birdie goes up in the sky.,it's very cute.,this one's a cat.,so the cat is going to sit down on the bed.,I see.,you can look at birds.,okay.,there's a bird that's a big bird.,that's right.
yeah.,it's not food.,wow.,yes it's a monkey.,yeah.,that's a pretty flower.,I don't know.,who's playing.,they eat them.,oh you're right.,and there's a bookcase.,where is the cat.,you're not a dog.,oh no she's in trouble.,what is that.,I got a book about dinosaurs.,I know.,see the birds.,they're like a little bit of butter.,and what's the other one.,and she was gonna get you.,he's a really good cat.,that's a cat.,and I'll see if I can't make this one work.,we'll go to the zoo and see some birds.,oh.,yeah.,it's a car.
I don't have a cat.,and this is the other side of the milk.,oh look at the red ball.,we're gonna put it on the floor.,you know what she said.,you're right.,no.,I see.,do you wanna make it blue.,see.,you want to go to the bathroom.,do you want the cat to come out of the box.,and here comes another one.,she's your aunt.,that's a nice horse.,we'll make a nest.,a burger.,you know what.,the boy.,okay.,oh my goodness.,you know what this is a cat.,oh my.,you wanna play with the cars.,bird is a bird.,yeah.,he's called a night heron.,I'm sorry.
there's a cat.,yummy.,here.,where's the cat.,and that's Daddy's hat.,you are a brother.,that's a big house.,what's this.,you're like a little penguin.,cat.,we're going to the bathroom.,the cat in the hat.,and they got their eyes all open.,I'm not.,look at all the different animals.,you have the monkey on the table.,let's get some.,yeah we can see them in the trees.,so I was gonna give you some ice cream and then we're gonna go get some ice cream.,wanna put it in the bucket.,oh that's too bad.,do you want me to help you put it on.,and that's a cat.,what does he want to do.,that's right.,do you know what this is.,she's on the bird.,that's a car.
come on.,mmm mmm.,see the tiger.,look at that baby duck.,it's daddy's.,you got one.,can you open it.,that's a red one.,that's right.,can you say cat.,do you want a drink.,what's this one called.,it's a little dog.,that's the one we're going to take home.,what is that.,oh I can't see them.,you want the honey out of there.,that's a robin.,the pancakes.,what do you see.,oh my gosh.,no.,a cat.,no.,you're gonna go get the birdies out of the cage.,yes.,you see a blue bird.,well that's the kind of car I want when I'm a big boy.
that's a cat.,do you have an apple.,wow.,look at the lion.,what's this?,you're my dad.,that's the stairs.,okay.,what do they do.,you can put it on.,there's the fridge and the refrigerator.,do you see the kitty.,where's the dog.,and then we're going to meet mom.,what is that.,you think she's a bird.,okay.,he's flying to a different tree.,that's right.,it's a duck.,you have a cute little cat.,oh that's cute.,look at the cats ears.,what's that.,we're gonna make a bird out of this.,yeah.,oh that's a hawk.,they drive.
what's that.,I can't have any more of this.,you wanna play with the cars.,and.,what's that.,oh yeah.,I'll put the dishes in the dishwasher.,you put the ball in the basket.,oh you're right.,what's that.,this is where we sit and eat.,it's not on.,it's a good dog.,okay.,wanna put it on the floor.,what kind of animals.,no.,you know how we're going to put on this.,we can't have your favorite drink right now because we're going to eat dinner later.,where's the bird's nest.,oh my gosh that's so cute.,that's a dog.,come on.,you put the ball on the floor.,that's a little duck.,that's right.,what's that.,wow that's pretty cool.
oh I see a cat.,yep.,okay.,what's that one.,we're going to go outside.,and then they're all there.,and now we're going to go to bed.,and then there was this one.,the duck.,where is the cat.,that's right.,cats are so cute.,and the other one is a boy.,okay.,it's a little bit smaller.,he's gonna put the eggs in.,do you know the man who lives in the store.,I see a bird.,what are they doing.,we'll find a nice spot for them to live.,oh there's a cat.,and there's the cat.,and it says cat.,it's a toy truck.,I'm gonna read the book.,oh I remember.,yeah.,and if you want to get a car you have to save up money.
kitty cat.,wanna have some food.,here.,do you like the lamb.,I'm gonna put your clothes away.,it's your brother.,what kind of house do you have.,look at this cute little dog.,do you think they are really scared of it.,yeah.,you put your feet up on that.,and the cat sleeps in the box.,right.,yes.,you know I like animals.,okay.,no.,there's a bird.,you're gonna give me some of that.,here's a little birdie.,okay.,wanna make sure we're not gonna lose our cat.,here we go again.,what's this one called.,what bird.,and what's the other one.,this is a bird.,let's see what's inside the trunk.
what a nice cat.,that's right.,that's a car.,what's this.,oh look at that.,can I have a bowl of cereal.,it's a little house.,okay I think I'll just go over here and get my bubbles.,what is that.,he's a cat.,I'm going to fix up the bedroom.,a cat.,see.,okay we'll call it.,that's a tiger.,okay so it's like a baby chick.,you're gonna eat the potatoes.,that's a crow.,this is a peach.,there's a bird in the sky.,what's that.,oh I see.,there's a big cat.,can you get me a truck.,yeah.,are you gonna give it to him.,you're the king of the birds.,you're going to go by car.
there's a cat.,you're eating.,do you want the blocks.,okay we're going to read a book.,let's see how you can get it out.,right.,there's a door.,oh my goodness.,what kind of animal.,cats like to scratch.,can you tell me what this is?,yeah.,the dogs aren't sleeping.,we have a family.,he's a big monkey.,you can see all these animals.,yummy yummy.,you wanna say a word.,and then put the pasta in a pan.,you see the bird sitting on the branch.,do you think she's a cat.,and they're in this book.,oh.,the blue ones are your toys.,he's flying around the room.,and it's a little hard to push.,oh we have a bird.,you wanna play with it.
oh what's that.,ooh.,I love playing with your blocks.,that's a rabbit.,let's see if they're here.,and that's a clown.,let's go outside and play in the snow.,what's this one called.,that's a good idea.,do you see a cat.,oh we'll make a little one.,what did the cat say.,let's go to the dog.,who's that.,okay.,oh my gosh.,no we're not gonna eat them.,this is a woodpecker.,you can't.,what is that.,"and it goes, bump, bump, bump, bump, bump.",you're a cat.,you're right.,the dolls.,that's a bird.,we'll have to put the train back together later.,that's a crane.,go go go go.
wow cat.,wow.,where are they.,it's the bear.,yes.,oh.,oh you're right.,do you have a big truck.,we're gonna read about animals.,he's a cute cat.,you have a new home.,cat.,you can see the little feet on it.,well it's just a matter of being a little bit more organized with the pictures.,this is a snake.,what is that.,okay.,it's a bird.,you know what? I think this is a banana.,what's that.,I'm gonna get him.,I'm sorry.,you can see the black cat on the table.,oh I have a little truck that has wheels.,what is this.,I mean it's really a pretty good toy.,you're right.,and you put it in the car.
cute cats.,good boy.,I'm going to get him.,a bear.,I think they're in the car.,yeah.,who's that.,this is your car.,oh yeah.,okay.,let's put that in the corner.,there's a cat.,do you have a doggie.,what's this?,you go through the door and you walk down the hall.,and it's a tiger.,you've got the best dishes.,oh.,did you just say chicken.,we'll just keep walking and maybe we'll find a bird.,what is that.,this is a big cat.,and a kitty.,so you could take it apart.,a chicken.,and we can put them in the toy box.,that's a blue jay.,and the car.
hey cat.,yeah.,here's a yellow one.,hey little guy.,huh.,no.,okay.,look at that.,he's a cow.,and it's a purr.,it's not a ball.,yes.,yeah.,oh we can put your hand on the tray.,so what's another animal.,where's the bear.,you can have a little bit of the cereal.,he's a red bird.,oh my gosh.,birdie.,where's the cat.,oh my gosh.,cats.,you know how to get it.,it's a hawk.,you can make them walk and talk and sing.,they're called little owls.,so I guess we'll have to wait a few more months until you can get your own car.
a cat.,good.,this is a ball.,he's a frog.,you're going to go and sleep.,the baby.,okay.,we got to play with them.,what's this one.,cat.,okay we're going to go to the bathroom.,well you know.,"I'm sorry, I don't know what the dog's doing.",oh.,yeah.,no.,we're going to eat a little bit of turkey.,wanna see that.,you can get a piece of bread.,that's a robin.,a big cat.,well you can make a picture with some of these.,where's the cat.,what's this.,see that little bird.,oh.,and then it's a bird.,you put the car in the back seat.
yeah.,bird.,hey.,you're driving a car.,I think it's a little bit of a wreck.,wow.,that's a kitty.,you wanna have your cereal.,and then we'll get her a little carrier and then we'll go to the store.,that's right.,oh.,you can play with your ball.,can you take your shoes off.,that's right.,we have a dog.,you want to show me where the house is.,you see the blue bird flying.,that's a kitty.,there's a bird on the tree.,you're my best friend.,what's a cat.,wanna try it on.,bird.,it's a very big house.,and they're like a bird's nest.,that's a cow.,can you get out of the way.,okay.
look at the doggie.,there's a bird on the branch.,hm.,look at the truck.,this is a bathroom.,go ahead.,yes there's a kitten in the backyard.,no.,that's a cat.,where's your shoes.,no that's not a toy.,do you have a new baby sister.,oh there's the house.,oh yeah I can see that.,did you see the kitty yesterday.,okay.,oh you got a bird and a cat.,I'll see if there's anything else.,what do you think of that.,and who is this.,she's a cat.,okay you can put the paws on the couch.,can you say bird?,and a garage.,and then the bird went back.,and what's that.,I don't think they're for you.,a piece of cheese.
see the lion and the tiger.,baby bird.,there's a bird in the tree.,that's right.,oh yeah.,let's see a car.,they're cats.,mmmmm.,you'll get a cat.,you can use that.,you know what we should do.,and you're with mommy.,it's all red.,and the monkey's a monkey.,oh you're getting a little bit older now.,do you see the house.,uh-huh.,you know what he's gonna do.,you can draw a bird.,you're gonna get to work.,that's not a cat.,right.,you're going to be a bird.,what's this.,they're so cute.,they don't live there.,and what do you think they're going to do with that.,what's it called.
do you like animals.,yeah that's a bird.,this is a bird.,okay here we go.,it's just for the bedroom.,go up the hill.,oh no.,that's a little fish.,there's a kitty.,that's a cool picture.,oh no.,that's so sweet.,what's that.,yes.,oh my goodness.,you're going to be the king.,what's this.,it's a little bit chilly.,he said he saw a bird.,it's a baby.,that's a cat.,yeah.,wow you got a bird.,what's in the closet.,it's just like a duck but it's bigger.,this is a wombat.,it's a pink thing.,where's the apple.
"a big, beautiful animal.",bird.,it's a bird.,yeah.,there's a bed there.,it's a car.,can you say cat.,here's some ice cream.,this one's a cat.,oh yeah.,okay.,what's that.,oh my gosh.,so they're not.,and then she's gonna be a bunny.,where's the house?,that's a duck.,he's gonna go.,oh that's a duck.,you're so cute.,this is a cat.,you could say hello to the dog.,a robin.,do you remember the time we saw a house that was on fire.,you can tell me about birds.,is it a horse.,we'll give it to the piggy bank.,we'll have some.
bunny rabbit.,oh.,yeah it's a bird.,there's a car on the road.,okay.,there's a car on the street.,you got a dog.,what's that.,you want to see the kitty kitty.,and there's the bathtub.,oh.,oh.,oh you're not gonna say that.,and we're gonna go and get some eggs.,wow.,yeah there's one there.,bird.,this is my cat.,that's a robin.,so when you're feeling that way.,yeah you gotta be very careful.,what's a dog.,a bird.,so we're going to put this on the floor.,that's a pigeon.,that's the big kitty.,a banana.,a bunch of mashed potatoes.
the little duck.,here's a bird.,here's a bird.,uhhuh.,that's the door.,we can't go inside that one.,you know that cat.,this one has a lot of sugar in it.,I see a cat.,oh yeah.,here's a doll.,oh that's right.,they're in the bedroom.,that's okay.,I'm sorry.,it's a house.,can you see the birds in the trees.,oh it's a little kitty cat.,oh this one has a tail and wings.,who's in there.,that's right.,yeah.,he's a bird.,oh that's the toilet.,you see the birds.,we'll go outside and get them.,we don't have any.,I don't like to eat anything that doesn't come from a plant.
can you see a goat.,look at the bird.,look at the bird.,that's right.,what's that.,and they take you to the doctor.,hm.,are you going to eat your sandwich.,do you see the cat.,I think you have to get the water off of the ceiling.,yes.,I'm trying to get my shoes on.,wanna play with the blocks.,so we're going to make a house for the baby.,we'll take him to the veterinarian.,yeah there's a big tree right here.,you want the bird to be a little birdie.,they don't wanna do that.,oh.,who's the other one.,they have little paws.,they're all so pretty.,yeah.,and then you'll have a nice bedroom.,that's a bird.,okay.,we're going to eat some more cheese now.,yeah that's right.
that's a cow.,there's a little birdie.,what's that.,I'll go get the car keys.,you're playing with the house.,see the car.,look.,that's yummy.,I wonder what the cat is doing.,you know what this is.,you need some more.,you know who's in the family.,here's the pencil.,a little rabbit.,we got a lot of dogs.,okay.,what bird.,that's right.,here's a bird.,and he says to the other people he says to the other people.,oh this is the cat.,you wanna play with the dog.,this bird is called a robin.,I'm going to clean the house.,the bird is on the branch.,oh they're all around you.,I don't think there's any more.,"okay, here's some more."
oh a pig.,bird.,you know where we're gonna find one.,let's see what's in the back seat.,I see.,see the red truck.,the cat's chasing him around the yard.,that's yogurt.,it's so nice.,okay.,it's not a toy.,they were all friends.,the kids that's in the house.,and a little bit of it.,"oh, I know, I think.",it's the bedroom.,he was so happy.,can you say cat.,he was like flying.,yeah.,you want a cat.,we'll need to go back to the dog.,where are they.,they're like the front door and the door to the bathroom.,wanna sing.,what about the giraffe.,and the kitty wants some too.,I don't know if you like your food.
oh that's a big big animal.,oh what a bird.,bird.,where did the car go.,here's the house.,go.,you want to pet it.,yes.,I'm gonna go get your cat.,oh look at this picture.,what's the picture of the cowboy.,yeah.,how do you like this house.,that's a good idea.,right.,and there are some nice pink pencils.,do you see the bird.,yeah.,what do they say.,how's your brother.,he's right here.,what's a dog.,there's a bird in a tree.,that's a nice house.,he's in the air.,I guess that's the way they do it.,that's right.,I'll get you a drink.
this is a horse.,oh you're a bird.,here's a little birdie.,a car.,that's a fireman.,here's your car.,it's like a little cat.,that's right.,and the cat's eating.,okay.,you gotta move it back so you can see it.,hey.,do you want to open the door.,okay.,oh what's that.,well the babies are out in the grass.,that's a beautiful bird.,they're black.,he's really good at flying.,what's your name.,what's a cat.,yeah.,I don't know what the bird's name is.,okay let's go.,oh it's a dove.,this is what it looks like.,you can't eat them if they're dirty.,okay.
yes that's a chickie.,there's a bird sitting on the branch.,and the birds.,here's a car.,it's a house.,we can go see the cars.,oh I see.,you're gonna get up tomorrow morning.,the cat.,we need to get the fire out first.,what's that.,well we're all together at the same place.,there's a big chair.,oh.,see that.,you want to clean the floor.,that's a birdie.,oh so it was the cat that was sitting in the chair and the cat was trying to get away from the mouse.,you know what that is.,who are those people.,oh.,you think the dog doesn't like you.,the bird is in the tree.,a door.,that's right.,that's right.,the bread was very good.,yeah.
that's a horse.,that's a bird.,hey what's that.,I'll make a car.,yes.,it's the car.,oh where is she.,can you have some water.,see that cat.,yeah the door's open.,let's look at the toys.,oh.,okay.,it's the same animal.,there's a big dog.,oh.,there's a bird in the tree.,you know what we have right now? we have a cat.,here's another one.,yes.,they're like this.,you're a good boy.,yeah.,no it doesn't.,he's a chicken.,and they eat the leaves off of the trees.,we don't have any more.,we don't.
that's a cute baby.,oh a bird.,here's a bird.,oh that's not a car.,you wanna look at my house.,yeah.,you got a cat.,I'll put them in a bowl.,cat.,and you can see a house.,okay.,Mommy and daddy love you.,what's the other one.,do you have any more animals in there.,see.,where does your house go?,that's a pretty bird.,what's it called.,what's a dove?,did you see that little girl's head.,that's not a kitten.,I wonder why we don't have a dog.,oh look at that.,so.,I'll give you a bird.,so we could have a pet.,so this is a sandwich.,yes I'll do that.
bunny.,and there's a bird.,bird.,that's right.,I think that's your kitchen.,see the car.,that's a kitty.,you gonna eat that.,and you have a ball and you're hitting it.,you know.,well let's see.,there's a red one.,well what did you say.,and what's this.,oh the dog was right in front of the house.,you know that's the bed.,wanna go to the bird.,wanna draw a cat.,that's right.,where's mommy.,where's the cat's tail.,oh what's that.,this is a bird.,"well, here we are.",there's a bird.,so how come she's not asleep.,it's time for a snack.,what's that.
let's see a horse.,here's a bird.,the little bird.,what's this.,what's that.,look at the car.,let's put the cat back on the book.,do you think you can have some more yogurt.,here's a cat.,here's the pink one.,can you do that.,you want to go back to the park.,we need to clean it up.,do you want to draw a picture of a rabbit.,did you hear what I said.,oh my gosh that's the bathroom.,hey did you see the bird.,the cat is.,what's that bird called.,they're in the family.,they're just cute little cats.,you're gonna need a bigger box.,he says he's a robin.,it's like a hut.,that's a big bird.,you don't have a turtle.,what does he say.,a little bit of oatmeal.
oh baby.,we're gonna go find a bird.,it's like a bird.,that's a car.,that's the kitchen.,and we'll go for a drive.,oh a cat.,no.,can you see the cats.,what do you do in the house.,there's a train.,okay mommy and daddy.,we're gonna take off your hat.,where's the rabbit.,oh that's a very big dog.,hey.,that's a hawk.,that's right.,okay.,okay mommy.,I think they like.,yeah and then he's gonna have to go on and have a shower.,it's a peacock.,where is the bed.,here's a bird.,okay let's go back.,it's just like the cereal.,you should eat a banana.
what's this.,bird.,there's a bird on the tree.,let's go look at the car.,it's a cape.,wanna see that car.,oh that's a really big cat.,that's a banana.,what's this.,there's a cat.,this is the doll.,and you guys don't have a lot of money.,let's go to the living room.,that's a monkey.,she's very nice.,oh.,there's a bird outside.,yeah I know.,I don't know what it is.,this one's called the cake.,wow that's a big cat.,yeah.,and then they have these beaks.,you wanna see that.,they're birds.,I'm not sure what kind of animals you're talking about.,I gotta have some.,okay.
oh.,a bird.,we're gonna see birds.,we're gonna go to the car.,that's a table.,I don't see a car.,you see the cat.,I'm going to eat.,yeah.,and he's going to go out.,yeah.,do you have a favorite relative.,the house is full of people.,no.,that's a nice dog.,you have to push it really hard.,that's a parakeet.,okay.,that's a parrot.,oh yeah.,I think so.,what's that.,that's a bird.,yeah.,there's a bird in the tree.,she says that she loves the baby animals.,yeah.,I think I'll make the chicken and spinach.
