3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
there's a bird.,it's not gonna hurt ya.,we're going to play with the blocks.,yeah you're right.,there's cheese on there.,hey.,we're gonna play with this.,you're in the car now.,where's the car.,you're not supposed to eat them.,that's right.,let's go outside.,this is the bird that made the nest.,this is a snake.,there.,what bird is that.,there's a little green guy.,the oysters are very good.,and he's wearing a green vest.,oh wow.,I'll take out the butter.,you're going to have a puppy in a little bit.,did you say it's a donkey.,do you wanna see some.,you know it's a little bit cold out there.,you know.,the kitten is sleeping.,you could put some milk on the cat.
look at the dog.,do you know what a rabbit is.,you want to go get the dog.,what bird is that.,oh you're right.,where's the couch.,oh that's the car.,cat.,the house is yellow.,and the rabbit.,oh.,you need some more.,what are they doing.,here's a picture book.,look at the cars.,it's your bedroom.,they're just in case.,a bird.,you could sit on the couch with the cat.,I think I'll get some more.,oh yeah.,and then she goes.,that's a duck.,that's a good question.,oh there's the cat.,he's not.,we're going to get out the toys now.,what kind of birds.
you know how the dog likes to go outside.,go get it.,look at this.,there's a bird.,a car.,you know what we're gonna do.,car.,oh yes.,and then we're going to build a house.,wanna go down to the zoo.,no.,you want some food.,I think it's a chicken.,they're not going to sleep until they get back to their house.,he's holding his toys up there.,hey hey you.,and then you're done with the house.,what's that.,and the cat has a tail.,do you have the box.,yeah.,oh okay.,and we're going to go outside and we're going to see if we can find some birds.,so.,it's called the cat.,oh there's a baby hippo.,yeah.,you need a cushion to sit on.
dog.,oh look at the elephant.,we're gonna go find the dog.,the bird.,there's a car in the backyard.,wanna go back in.,you wanna go to the car.,what's that.,I'm going to go put the blanket up so it's nice and comfy for you to sleep in.,right.,okay.,and you eat the carrots.,that's a giraffe.,what kind of animals are there in the book.,so you're going to take the toys.,the house that Jack built.,okay.,that's a hawk.,no we don't have cats.,that's right.,oh it's not.,and the grandparents were at the table.,and you can see the little birds flying over the city.,yes.,she's in there.,they're not in the book.,I'm going to play with the toy trucks.,he's a blue bird.
who's that.,and you have a big brown cow.,there's a dog.,look at the bird.,okay.,this is a car.,here we go.,okay.,what's this.,they go to the pond to eat the little fish.,it's not a cat.,there's nothing wrong with it.,you want to draw a cat.,that's a bunny.,oh let's go find them.,and you can't use it to put things in.,they're cleaning them.,oh you're just a baby bird.,there's a cat in there.,no.,there's a light switch right here.,who's that.,I see.,you get a new room.,oh.,and she's like that.,oh.,what's that.
the dog is in the car.,oh my goodness.,come here baby.,look at the bird.,okay.,you see that.,the car is driving by.,see the cat.,do you know what a house is.,that's a lion.,yeah.,it's a little bit salty.,and then he fell down and landed on the couch.,they're called seals.,you can't have all those things.,the little girls and the big boys.,wow.,oh.,right now you're just watching.,what's that.,you gotta go get the other one.,did you hear the baby.,you have a bird.,and then there's a daddy and a mama and they make babies.,you have a cat.,oh that's the giraffe.,he can't get a toy.,oh look at that bird.
go ahead.,a big black and white bear.,huh.,yeah.,see the car.,you know what he does.,and the wheels on the car go around.,she's not in the house.,you can put a pillow on it.,there's one.,see that cat.,okay let's see what we have.,yeah.,and then they're up high on the trees.,you see the doll in there.,you'll have to put it in a box.,no.,it's a bird.,you know what that is.,you're a good boy.,okay.,okay.,where's the bird.,that's right.,we'll have to wait for another day.,that's a kitty cat.,oh.,you've got a bird on your hand.
yeah.,oh.,dog.,oh what a big bird.,and a little car.,and then we'll take a walk outside.,what does a car do.,wanna have a cat.,what do you think it is.,yes.,what's this.,well if you want to make it into a mash you could add water to it and mix it up.,and a little duck.,okay now.,can you see.,I'm sorry I'm busy right now.,well the house is going to be built and we're going to move in there.,oh that's right. that's a bird.,come over here.,we can't have peanut butter and jelly.,you gotta take the garbage out.,oh.,you wanna see some birds.,you know what that is.,it's a cat.,did you know you can't eat a bunny.,I'm thinking about playing with the trucks.,that's a hawk.
bark bark.,look at that.,and he's a big brown dog.,a bird.,oh yeah.,oh the couch.,do you know what a car is.,oh that's the cat.,yeah.,what do you call that?,that's right.,it's a fruit.,we'll be back in a minute.,this one has a big head.,right.,I'm not sure.,oh that's nice.,this bird has a long tail.,there's a cat on the wall.,hey hey.,"and here's a little kitchen, see.",you're gonna be Mommy's baby.,here's a baby bird.,and then the mommy's mommy's and Daddy's.,well.,she's gonna give them a kiss.,oh you're gonna get the one for Daddy.,you can put them in the bird feeder.
oh you're a good boy.,you know the animal that lives in the mountains.,uhhuh.,yeah.,that's a car.,and we'll have a big cake.,wow.,come here.,we'll have a lot of fun.,you know where a kitty goes when it's hungry.,and I think you wanna pet that cat.,you don't wanna eat.,oh my gosh.,they're both the same.,hey it's not mine.,that's a nice house.,where is the car.,that's a turkey.,and they're called cats.,that's not a cookie.,what's that called.,well you know what you don't want to be that kind of person.,you're so smart.,oh.,she's wearing some nice shoes.,and a big fish.,and they're all in there.,oh yeah.
oh look at the dog.,the chickens are laying eggs.,okay.,oh I see a bird.,oh.,yeah.,yeah.,yeah.,the dog and the cat and the horse.,what's that one called.,see the cat.,and we're gonna have some tacos.,you want to get them out of the way.,that's a big bird.,I'm getting out the baby doll.,it's not a good idea to go up there.,I think it's in the living room.,he's a hummingbird.,look at this cute little cat.,okay.,what are the numbers on this house.,right.,you need to put on your shoes.,we're going to be having fun.,that's a cat.,wanna see the horse.,I see.,a little bit of birdseed.
dog.,oh I can't see the monkey.,doggy.,little bird.,car.,we're going to the library.,do you want me to drive.,oh there's a cat.,we can't go in there.,they're cats.,come on honey.,oh.,I'm sorry.,we're going to do a book.,what are these.,what's this?,you know the other thing that's a house.,what do you see.,yeah.,oh.,oh.,that's a funny family.,oh birdie.,do you think mommy's gonna go back to work.,and now the cat is sleeping on her.,you're going to be a giraffe.,you see this ball and this ball and this ball.,oh there's a bird there.
here's a little dog.,we have two.,wow.,a bird.,wow.,oh that's the bedroom.,go to the garage.,that's what it is.,you get up.,that's a wooly bear.,you know what the cat's name is.,it's not a real taco.,you could have the giraffe and the monkey.,and that's a goose.,right.,oh it's a house that looks like a giant.,oh yeah.,you can't see them in there.,it's a big cat.,oh I'm sorry.,it's a pretty nice house isn't it.,I'll make a drawing for you.,yeah.,it's okay.,well we're going to draw a cat.,oh look.,he's playing with the blocks.,this is a birdie.
oh.,a rabbit.,and it has four legs.,there's a bird.,I think that's a car.,yes.,you have a car.,oh we'll get you another one.,and where's your toy.,yes you can eat it.,okay now we're gonna put a hat on.,you want some.,there's a dog in the backyard.,hey buddy.,you can't put it back together.,where's the toilet.,I'll take you to the library.,uhhuh.,this is a kitty.,that's what you eat.,well let's go upstairs and clean up and put all the clothes in the drawers.,what's the name of your aunt.,a sparrow.,they went to the hospital.,I think so.,you know what you know about animals.,and we're gonna build a rocket ship and we're gonna fly off.,this is a bird.
dog.,no.,you're not gonna eat that.,this is a bird.,it's a car.,what's the other one called.,see that.,oh the cats.,oh yeah that's right.,and it's called a pig.,we're going to the cat.,how about some of those.,we'll go to the farm and see the cows.,see the duckling.,he's.,there.,you can put the picture in the frame.,what kind of bird.,they're cat.,where's the peas.,you have a house.,right.,hey.,no.,no that's a kitty.,that's a cat.,so they're in the car.,it's a hawk.
it's a little dog.,wow.,it's a bunny.,we gotta get that.,what's in that truck.,hey.,that's right.,see the cat.,we're going to be right back.,what's that.,there's a cat.,that's a pizza.,we could go get a book about it.,the rabbit.,we're going to play with the puzzles.,that's right.,the bed and the pillow and the blanket and the comforter and the sheets and the pillowcase.,it's a little birdie.,we're gonna go find a cat.,no butter.,yeah.,oh I'm not gonna tell him.,that's a robin.,I'm a Dad.,what's that.,nope.,and he's a very good boy.,do you know that.
oink.,right here.,yeah.,no bird.,the car's moving.,oh okay.,okay.,where did she go.,oh that's the stove.,look at the bunny rabbit.,and a cat in the chair.,the peas are pretty.,this is a pig.,that's the big one.,we'll have some more blocks for you when you're done with this one.,I'm thinking about it.,there's a hole in the floor.,oh yeah.,oh.,you know what it is.,okay now put this right back in.,oh.,you're gonna see the birds.,my little brother.,it's just the cat.,I'll see if I can find any that's not in here.,what's that.,that's a seagull.
you have a dog.,look at the kitty.,yeah you can play with that.,there's a birdie on the tree.,you know what it is.,oh that's a good idea.,yes.,you've got a kitten.,oh.,do you see.,do you want to draw a cat.,no.,hey look at this dog.,yeah.,okay.,you're gonna get the water.,"they're like, a house that looks like a car.",we're going to see the birds.,he's sleeping.,that's good.,okay.,what does he like to do.,the bird is flying.,what's that.,and the cat.,what are you thinking.,I'll put them all back.,oh that's a bird.
dog.,look at the ducks.,that's a dog.,there's a bird on the window.,come over here.,oh this is the chair.,wow.,and then we can get the cat.,there's the sink.,okay I'll give you some more animals.,you got to get up now.,you got a big piggy.,oh you know what.,they're gonna.,what are these things for.,oh.,I'm going to the store to buy some wood.,what's that bird that sings beautiful songs.,no.,what's this.,there's a bedroom.,it's a long time since I was a kid.,well I'll tell you the story.,you're gonna read a book.,oh yeah.,there's a frog and a butterfly.,what kind of toy is that.,this is a robin.
and the dog's name is Spot.,see the pig.,it's a big dog.,we're going to go look for a bird.,see the car.,oh they're not there anymore.,it's a car.,where's the kitty cat.,there's a light that turns on when you come in the house.,that's right.,"hey, you can't see the cat.",it's a pizza.,the cats in the house are very nice and very loving.,it's a cow.,look at your baby.,that's what I'm saying.,"yes, they're called tiles.",do you have a birdie?,this is a cat.,so this is a chicken leg.,so that we can't tell the difference between the two.,yeah.,there's a bird outside the window.,you got it.,I'm gonna show you a picture of a kitty.,he had a tail.,hey.,we're gonna play with a book and we're gonna read.
there's a dog.,and a horse.,I think it's a dog.,you have a bird.,that's a car.,whoa.,what's that.,look at the cat.,where's the toilet paper.,and then they're going to go down.,we'll get you a kitten.,I'm sorry.,can you hear the tiger roar.,you know.,and you can have a carpet.,and then they're going to make a new house for you.,oh yeah.,you see the bird's legs.,that's a cat.,do you want me to give you a hug.,I'm going to turn on the lights.,where's the dog.,what kind of birds are in there.,that's right.,you're not gonna want to put that in your mouth.,that's a giraffe.,so you could use it to make a bookshelf.,and the other one's a hawk.
look at that car.,you're going to get down off that.,let's go look at the car.,the pancakes.,this one.,a dog.,do you see.,that's a car.,a house.,so we're gonna have to get a good size.,bird.,it's a pig.,okay.,we'll just sit here.,this is a car.,oh.,you have your little toy soldiers.,you see that cat.,okay.,we're going to put the sandwich in a bag and we're going to take the sandwich with us.,it's a big dog.,and then he goes to his grandma and grandpa and his grandma and grandpa take him to see the fireworks.,do you have a crayon.,bird.,this is the cat.,it's a bird.,he's a good boy.,you know.
see the car.,this one's your toy.,see car.,what's that.,where are they.,it's a dog.,look at the cows.,there is a car.,you know you can't eat the wall because it's not made for eating.,that's a very pretty bowl.,there's a bird on the roof.,that's a chicken.,that's a dog.,"and if there's a wolf, that's a wolf.",is there a car.,and she had a baby and then it had a baby and then it had a baby.,and if he had a ball he could throw it.,it's a cat.,you could put a box on the table.,that's a good choice.,let's go find a dog.,I'm so proud of you.,there's a little car on the table.,a bird.,you need to clean your cat.,this is a penguin.,what's this.,what's your favorite food?
car.,yeah it's a ball.,go.,I see.,look at this truck.,oh look at the dog.,that's a duck.,you wanna take a ride in the car.,and that's how you make a house.,do you have some water.,do you know the names of the birds that you have seen?,we're going to have some bubbles.,oh.,yeah you have a lot of animals on the farm.,oh.,you're the one who's going to be the baby.,we have a lot of blocks.,that's right.,you wanna go outside.,where is the food.,yeah.,hey it's me.,here you go.,oh.,what's a cat.,do you see a bird.,it's so cute.,you should wash your hands after you go outside.
see car.,I don't know.,let's go to the car.,here.,wanna play.,there's a cute little dog.,I'll do this one.,do you see the red car.,oh I'm glad I did.,you know that.,what's that.,yeah.,oh yeah.,I'm going to tell you about a little birdie.,you want to see the car.,you're right.,where's that.,no they're not in here.,and it's got a chimney.,I have some carrot sticks.,"oh, I'll get a puppy.",where's mommy's purse.,okay.,there's a little blue bird.,what are they eating.,"a. what does he do with his wings.
b. what does he do with his wings.",where's the puppy.,that's daddy's.
that's a car.,and here's a train.,that's a car.,yeah.,what's this.,what's that.,what's that.,okay.,you're gonna get a new one when you go to college.,let's open it.,there's a bird.,we have a few different animals here.,right.,she was at the zoo.,no.,no no that's not a chick it's a goose.,you got the red one.,this is a caterpillar.,well let's get to the house now.,what's on the bread.,oh.,do you remember your mom and dad and your brother.,no we're going to clean up.,that's right.,they look like they're in the middle of a fight.,we'll have to wait a little bit until it gets dark.,oh you wanna go to the park.,where's your father.
car.,can you see a yellow block.,look at the car.,yeah that's a peach.,wanna play with the blocks.,and the dog is in there.,right.,let's get the car.,yeah you're right.,yeah.,you know what I can put on my bird that's a nice place to put it.,well she's a very pretty lady.,you're right.,oh here's another one.,and in the car we have a sun visor.,oh that's okay.,can you see this.,you can see that little guy.,oh look at these big shingles.,well I don't know.,it's a dog.,it's not a baby.,this one has a little duck on it.,there's a bird.,they're not even related.,I think that bird is a little too big to be in our yard.,do you see that dog on the television.,you know what mommy likes to do.
car.,oh there's a big ball.,look at the truck.,mhm.,I'm going to put that block over there.,dog.,oh look.,yeah.,you'll see.,a hotdog.,can you say bird?,do they have babies.,that's a bunny rabbit.,I saw a squirrel.,oh look at the car.,that's what we call a penguin.,let's see if this will fit in it.,yeah.,yes we have a house.,I'm gonna go to the store and buy the ingredients to make that.,you're a puppy dog.,she is in the middle of her life right now.,there's a little guy who's like a rabbit.,a sparrow.,the cat.,you know what a bird is.,"oh my goodness, that's so cute.",okay.
car.,put your toys away.,you can get a car.,you can take your food out.,right here.,what kind of dog.,what's this.,car.,let's go see if he's there.,no.,that's a robin.,yeah.,I guess we could take the dog for a walk in the backyard.,and he was a little old man.,oh.,do you remember the little monkey.,okay.,yeah.,that's a chair.,you're gonna eat this.,he's a dog.,the first thing we're gonna do is we're gonna get our shoes on.,okay.,a baby bird.,and then she came.,you know where the birds are.,and a dog.,yeah.
oh.,I know what it's called.,where's your car.,here you go.,I'm gonna go and get a toy for you.,that's a big dog.,a giraffe.,we'll go get the car.,what's this thing called.,you know what he eats.,I see.,do you like that.,and they're big.,"no, this is the one.",what's a car.,that's right.,oh my gosh.,you're gonna be a cat mommy.,okay.,you got it.,that's a cute dog.,and the baby.,wow.,this is a robin.,that's a cat.,what bird.,look at that dog.,I mean it's not like he's a child anymore.
see the car.,wanna have some fun.,there you go.,what's that.,you wanna have a toy.,oh.,that's a duck.,car.,do you wanna see how we turn off the water?,yeah.,that's a robin.,a baby lion.,and this is a chicken.,I think this is a bird.,oh you're saying.,well we'll have to take a look at the animals.,no you're not.,"oh, the cat's back.",and here's a chair.,I'm not sure what you're saying.,oh I'm sorry.,that's what I said.,oh they're not very nice.,yeah I'll put the bird on the swing.,oh you're so pretty.,a sparrow.,do you think they're going to get a dog.,okay.
ah car.,they're right next to each other.,yeah.,where's the milk.,the toys are in the box.,we'll put him on your head.,you're a big duck.,wanna go to the car.,yeah.,that's right.,what kind of bird is that.,oh wow.,what kind of cats.,he was a good friend of hers.,and they go down the road and they take us where we want to go.,where's the ball.,and a cape too.,do you remember who that is.,I'm going to turn off the lamp.,what's that.,do you want to read a book about a dog.,oh my goodness.,I'm not gonna do that.,he's like a rooster.,well they're called kittens.,what's the bird's name.,he's a little bit old.,oh no.
let's play with the car.,no.,right here.,mmm mmm.,you have the bear and the duck and the bunny.,I think this is a dog.,we got a big giraffe and a big elephant and we got a big lion.,yeah and they don't even have to be there.,you can make a house.,you wanna eat.,wanna see what's in there.,and the baby's in the bed.,you can see the deer.,you know how he has two ears.,oh.,what does he have on his head.,oh this is the bunny and this is the giraffe.,right.,I'm going to go see the house.,it's hot and spicy.,okay now you can pick one.,can you think of anything else to do with the family.,okay.,a robin.,oh you have a kitty kitty.,can you hear the bird outside.,this is a big dog.,"oh, what are you gonna do."
here's your car.,there you go.,look at the car.,wow.,look at that.,see the doggie.,they're a little bit squishy and they're warm.,and a car.,there's a blue light up there.,that's the banana.,there's a bird flying in the sky.,oh there's one.,so we're going to take the carrot and the carrot is going to be in the carrot.,I see a duck.,it has wheels.,wow.,you're going to want to put this one down.,do you see that.,you could go to the zoo today.,it's okay.,come here.,you know who I want to play with.,look at this one.,a bird.,we have a cat.,wanna see that bird.,and we have a big dog.,you wanna go outside and play.
and they take us places.,that's a truck.,there's a little car.,he's eating yogurt.,and you can push them.,you like dogs.,what's that.,they're driving.,that's a chair.,yeah.,that's right.,I love seeing you with the cat.,oh.,I'm sorry.,oh there's a car.,we need to go to the zoo.,okay.,you got a cat.,okay.,I think you're gonna like it.,and then she'll walk on the porch.,and your brother.,you can't play with those.,what kind of bird.,the cat was asleep on the bed.,okay.,you know what he said about the dog.,what's the other one called?
look at the car.,this is the ball.,go ahead.,we are not going to eat that.,oh.,where's that.,can you say animal.,that's a car.,oh my.,you wanna have some yogurt.,wanna see the birds.,a big old yellow duck.,wow.,a. what was that.,can you tell me what car you see.,that's right.,there you go.,the cat's just sleeping.,and I'll get a chair for you.,is this a nice thing to eat.,that's a dog.,oh it's your sister.,wanna take the truck back to your truck.,a pheasant.,he's just been fed.,there's a hawk in there.,yeah.,oh that's not what we're looking for.
you want to go in the car.,and see.,car car car.,here's some apples.,you're gonna get them all dirty.,and they bark.,do you see a dog.,he's going to the truck.,you like the house.,they have a spicy pizza with chicken on it.,and then it's going to land on the tree.,oh okay.,right.,it's a bear.,oh.,oh.,this is a pig.,you know that cat that's up on the chair.,I don't know if you've ever had one of those things.,I'm going to pour a little more water in there.,right here's a big dog.,you're not gonna go.,okay.,you know what.,well you can see that's a cat.,and we'll be with them.,"oh, I thought you said.",that's right.
ah ah ah ah.,we're gonna have fun playing with toys.,wanna sit on the car.,we're gonna have some hot dogs for dinner.,no.,what's this.,yeah.,oh I can see a car.,the house.,I guess you don't want to eat your peas and carrots.,there's a bird sitting on the tree.,oh it was in a book.,you know.,okay.,yeah and it's got those big things to go to the park.,we're going to look at a picture of a bird in the book and then we're going to look at a picture of a fish in the book.,and he goes to the ocean.,a cat.,hey.,hm.,oh.,he's a doctor.,that's a truck.,do you see that bird?,hey.,oh you're right.,right.,okay.
see the wheels and the tires.,look at the ball.,come on.,oh.,this is a big dinosaur.,that's a dog.,a giraffe.,I'm not sure what's inside.,yeah.,I like to eat it.,no birds.,it's a chicken.,oh.,he's just playing with some animals.,is this car a nice car.,and you got a cow and a pig and a chicken and a horse and a sheep and a duck.,yeah it's a train.,here's a cat.,who is that.,and then he would throw the ball to you.,it's really a good dog.,oh my goodness.,you have a lot of them.,what's that bird doing.,look at the cat's tail.,what kind of bird is this.,oh yeah I think so.,I'll make some extra stuffing.
and you can sit in the car.,here's a nice toy.,right.,a little bit of chicken.,and this one goes over here.,yes.,go down.,I'm going to turn off the car now.,we have a house.,I'll go in.,you can't eat birds.,he's eating a peach.,what is this.,that's right.,wow.,what's that.,oh.,and if you want to get some more sleep put the cat in there.,look at this.,it's like a worm.,he's gonna.,and you'll want to keep your eyes on it and your hands on it.,I'll go see if we can find it.,what is that bird called.,that's a cat.,there's a bird in there.,this is a dog.,the baby is crying.
I'm taking your car out for a spin.,ball.,you know how to get into the car.,this is a potato.,yeah.,there's a dog.,here.,yeah.,okay.,you want something else.,bird.,where's your nose.,they're all right.,the puppies are barking.,let's go get some lunch.,oh.,and the other one is called a teddy bear.,and then we go and have a nice nap.,you want to clean the house.,do you have any more.,can you see the dog's ears.,okay what else.,I'm sorry.,that's a cute little bird.,oh.,there's a little bird there.,there's the dog.,she was in her room when she saw him.
