3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
oh I know.,yeah.,I think it's a duck.,and here we're going to go see the zoo.,and then the cat comes out.,do you see the birdies.,and the bird says.,okay now where are we going.,what's that.,a bird.,there's a big dog and a little dog.,here's your bicycle.,where's your pet.,they're right here.,and then you put the box on the floor and then you put the toys in it.,oh this is one of your toys.,little birdies are very beautiful.,hey what did he do.,oh.,look at that cat.,what's the word for this little animal?,okay.,it's a car.,no.,"I'm sorry, I don't know.",it's nice.,this is a giraffe.,it's a robin.
and if you look at the screen.,yes that's right.,what's this?,what's this one.,yeah that's a cat.,that's a pigeon.,what's that.,come here.,did you see them.,what's that.,it's a black one.,I'm going to throw you in the toy box.,that's a nice blue and red dog.,that's a teddy bear.,can you show me your toys.,you know where the stuffed animal is.,the bird is flying.,what does it say on the car.,you wanna go outside and play with your car.,there's a kitty in the tree.,yeah.,no we have to take out the trash.,okay.,okay.,that's right.,and Mommy is a nurse.,oh.,this is a robin.
look at the animal.,you eat all of your food.,they look like birds.,he has a little hat.,you have to hold the cat so it doesn't get mad at you.,there's a bird in the tree.,little bird.,oh what's that.,who's that.,they're in the woods.,they're playing.,no.,it's a rabbit.,you want to play with the dollhouse.,they're all good.,hey hey.,the hawk is perched on the branch of the tree.,what's that.,let's go see them.,and then I'm going to take a bath.,the dogs.,I don't know.,no it's a car.,it's a nice picture.,you can drive the car.,you can use a hand mixer.,she's a baby goat.,a bird is a very small animal.
look at the dog.,oh here's the baby bear.,you can eat that.,that's a bird.,where's mummy.,hey bird.,wanna make some food.,we're gonna go to the store to get stuff to fix the house.,here's a little car.,do you want some.,that's the big ball.,and it's a pretty bird.,that's a big tiger.,and we're gonna go to the park.,oh what's that.,come on we're going to see the cat.,oh and then they had a big party and they all came to the party.,that's a duck.,she's got a big shelf and a bunch of books.,can you pass me the salt.,oh.,okay now we're going to put the dog in the house.,what.,this one is so cute.,that's right.,you like that one.,they are cute and they're funny.,yeah that's the house.
who's the dog.,what a big rabbit.,no.,and that's a bird.,we're a family.,yeah.,you're gonna eat the food.,the house.,there's a car.,what are they.,you know what you're gonna do with that.,see the bird.,we'll have a whole house full of dogs.,yes.,it's a duck.,you're gonna draw on the paper and make a cat.,and it makes a really big noise.,hey what's that?,can you give me the ball please.,yes.,they're pretty.,that's a dog.,you have to wait until he gets up.,you know what's funny about dogs.,that's right.,the bear is sleeping.,and that's the dog.,oh.
there's a dog in the house.,baa.,peas.,a bird.,yes.,that's a robin.,let me see what's in that.,well you know what I have.,that's right.,you're gonna have to eat all of it.,and you can make them all go.,you can feed them.,I don't see a giraffe.,okay.,that's a hawk.,that's right.,you see those spiders and a butterfly and the ladybug.,it's a black bird with a red belly.,that's your daddy's house.,and then you'll have the ice cream.,yeah.,this is a baby dog.,look at the tiger.,okay.,oh they're really loud.,and what about that one.,well it's a nice dog.,so we don't have a lot of time.
the dog's a little bit scared.,a puppy.,they're all gone.,there's a bird in the tree.,you're going to get in the car.,yeah.,that's a good one.,you're right.,that car is a red one.,you like peas.,and the one with the lady.,he said they're called pigeons.,I think the cows were in the field.,it's a house.,yeah that's a bird.,you know it's not a cat.,and they're not really birds.,the bird is on the branch.,we can't get in.,it's kind of like what you're eating right now.,and they're made out of a material called wool.,see the dog and the cat and the rabbit and the mouse.,I think we're gonna see a pony.,do you wanna put it on.,that's a duck.,oh no.,I'm going to sit down.,oh no.
it's a dog.,and she's a little monkey.,that's what they're made of.,it's a bird.,oh I see.,look at the birds.,look at the apple.,oh.,I'll be there in a minute.,that's what we do when we're cooking.,you know.,yeah.,no.,well that's really good.,a birdie.,it's a cat.,the kitty.,he's a sparrow.,where are you gonna put your dishes?,can you give me the knife?,it's a big house.,what's that dog doing.,he's in the hospital.,yeah.,that's a duck.,and they eat the leaves off the trees.,he's a little dog.,that's a bed.
wanna get it off.,do you see any lions.,cheese and crackers.,wanna put it in your hand.,who is that.,baby bird.,this is a sour pickle.,it's a house.,I see.,you want some cereal.,okay.,oh that's a pigeon.,see how they're digging.,okay.,you have a blue bird.,there's a little kitty cat.,oh wow.,that's a parrot.,you can't have a bath without your clothes on.,you can't put that in the blender.,did you ever see the carpet that was in there.,I love dogs.,the dog's not really a dog.,uhhuh.,you can draw a bird.,she says.,that's a dog.,it's so nice to have a house.
bark bark.,oh.,mashed potatoes.,you have a bird.,hey.,what bird is that.,no.,what's on that.,you wanna look at the car.,I'm gonna give you a cupcake.,what else do you have.,you're going to see if it's real.,what do they do with their arms.,I have to go and I'm just gonna stay in my room for a while.,he's a little birdie.,we have a cat and a dog.,yes.,the bird.,where are the keys.,yep.,did he do it.,oh.,do you think we'll see some more.,we're going to go.,that's right.,you know what.,what's that dog doing.,no no.
wanna go see the dog.,right.,you like it.,there's a bird on the telephone.,oh this is mommy and daddy.,look at the bird.,I'm gonna get you a bite.,they're going to build a house.,and there's the car.,that's what's in it.,okay.,this is a pigeon.,oh here's a cow.,that's not a toy.,that's a hawk.,I'm not sure what that is.,the elephant had a tiny little foot.,they're flying over the mountains.,and then we'll have a party with all the guests.,yeah.,it's called a room.,she's gonna go to the kennel.,look at that.,she said.,they're called peacocks.,oh we don't want to hurt them.,the dog.,you can have one cup and we'll put the rest in the refrigerator.
doggies.,okay.,here's some.,there's a bird outside.,Mommy has four brothers.,that's a chicken.,and then you eat it.,no you don't.,it's so hard.,that's right.,you got some.,a sparrow.,yeah they're babies.,oh you have a house.,oh wow they have very pretty feathers.,"we're gonna read this book called ""The Cat in the Hat"".",we're going to put the cake in the oven.,see a bird.,what.,right.,it's nice.,right.,okay now we're going to look at the animals.,this is a dog.,they're called what birds.,"he says, hi.",oh that's just like a little dog.,you're in your house.
wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging wagging w,there's a bear.,cheese.,bird.,they're my parents.,what's that.,you can eat that.,they're.,car.,I'm just gonna give you a little bit of honey.,what's that one called.,it's called a chicken.,right.,we'll start at the top.,there's a bird.,let's see the cat.,and that's a lamb.,yeah.,do you remember that little red wagon that had to be pushed back and forth.,uhhuh.,you've got a house.,where's the dog.,wow.,you wanna see the dogs.,and then she flies away.,where's your cute little horse.,I see.,that's right.
woo.,you have a bear.,look at the fish.,wanna hear a bird.,can you see them.,what is this.,we're gonna have some tuna.,"okay, let's get you out of that house.",you want a car.,they eat.,this one is too big.,the baby bird has a yellow belly.,that's right. That's a puppy.,so they go in the fridge.,I'm gonna go down to the pond to get a picture of a duck.,hey.,what's he doing.,uh-huh.,what is that.,what's that called.,you need a ladder to get on the roof.,you got the little dog.,and that's a horse.,uh huh.,and the bird's wing.,okay.,what is that.,I think you're right.
here's a big brown dog.,bunny rabbit.,yep you wanna eat that.,we see a bird.,no.,bird.,they're not here.,oh there's your toys in the toy box.,you don't know what a car is.,here's some butter.,no it's a toy.,a bird.,yeah I'll give you some money.,we're going to the store.,do you know what it's called.,there's a cat.,can you put the milk back.,a bird.,there's a bed in the house.,you're a good eater.,wanna build a house.,there's a dog.,and you need to feed them.,oh you need to brush your hair.,what kind of bird is this.,it's a little bit of a puzzle piece.,oh.,no.
a dog.,where's the kitty.,yeah.,it's a bird.,okay.,look at the little duckie.,yes.,you go in.,a car.,what's that.,the dolls.,there's a bird in my house.,that's a big giraffe.,oh you're going to love that.,what's a bird.,you can get the cat.,there are all sorts of cats.,there was a bird.,no.,well maybe you can make some.,they're really good for cooking.,let's go see if he's here.,see the beavers.,they're so big.,you've got a bird book.,that's a rabbit.,oh my gosh.,yes.
good boy.,hi hi.,here's your banana.,wow.,see my family.,you know what he's got.,yeah.,I have a picture of a house.,see the car.,what's this.,where is the doll.,he's gonna be a bird.,you know what.,oh oh oh oh oh oh oh oh oh.,hey baby bird.,I love your cat.,there's a baby bear.,oh look at the little birdie.,the house that Jack built.,what are you making.,can you see the red and the blue and the yellow and the green and the orange.,let's go and find out.,and they're all sitting down and they're all sitting down on the chair.,and the dog would bark.,it's a pretty bird.,he's a bird.,no.,what's that.
look at the dog.,that's a puppy.,yeah you're right that's a lot of food.,there's a bird.,and now.,there's a bird flying by.,I see a baby.,hey let's turn on the lights and then we can go play.,oh.,they eat in a very very nice room.,you can play with those.,a bird.,a giraffe.,we'll make the house.,see that big yellow bird.,do you have a cat.,nope.,that's a great idea.,they're the same.,okay.,okay.,well you know what it is.,wow what are those.,see.,uhhuh.,he's just a little one.,oh they're so cute.,they're on the stairs.
come here.,that's a bird.,that's right.,go flap your wings.,right.,oh bird.,and now we're going to put the rice in the pan.,they're in the closet.,and there's a truck.,oh.,you see it.,little bird.,wow.,oh the house was built on the hill.,oh look at that blue bird.,it's a kitty kitty.,that's a crab.,that's right.,okay.,what's that.,the doorbell rang.,I'll put the dog in the car.,right.,what kind of dog are you.,that's right.,I think they have their own special way to live.,the dog's gonna sit down right there on his bed.,oh.
doggy.,and the giraffe.,this is a yummy cookie.,look at the bird.,let's see you find a ball.,oh.,oh look.,you see the toy house.,go on in.,I have some water.,well this is a very interesting one.,there's a bird outside.,no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no,and then we'll go to the store.,there's a bird sitting in that tree.,yeah.,do you like elephants.,the bird can fly.,oh yeah you know where.,yeah.,how many rooms in the house.,where's the dog.,he was the one that got in trouble.,oh let's see.,and you'll get some of that.,no it's not a goose.,well you've got your dog on a leash.,and a table.
there's a dog there.,doggies and cats.,I don't know.,bird.,no.,look at that bird.,here's your juice.,you can put your shirt on.,you can take a nap when you're in the car.,and then he just like said.,and you can.,yeah.,I think the rabbit has a big nose.,you know we have a house.,that's a duck.,oh what's that.,I mean like the bunny.,and it's a bird.,I'm going to put my shoes back on.,they're not.,okay.,and you want a little bit of chicken.,they're really nice.,he's a good dog.,what's that.,the pig's got a mouth and a nose and a mouth and a nose.,oh you're right she is a good dog.,and then we'll go home.
oh you're a cute little puppy.,where is the puppy.,do you wanna eat.,look at that bird.,we're gonna get you a ticket.,it's a crane.,peas.,well.,we're gonna have to go to the car rental place and get a car that has four wheels.,I don't know.,look at that.,he's on the back of the turtle.,oh.,oh I see.,there's a duck in there.,the cat's in the bed.,you know that's a giraffe.,we have some ducks on the farm.,okay.,uhhuh.,can you say house.,see the dog.,what's that.,you're right.,that's a sparrow.,I'm gonna get the camera.,they're really big.,and then you'd take the dishes out of the dishwasher.
bark.,okay.,yeah.,little birdie.,okay.,there are a lot of birds in the tree.,"no, not yet.",yeah it's in the garage.,oh we're going to get in the car.,oh that's right.,oh that's the blue truck.,a duck.,and that's a hawk.,and there's a door.,what is this.,and she's gonna put her tail on top.,the little kangaroo has three kids.,he's a bird.,well I'm going to get out of the chair and go to the bathroom.,there you go.,so where's the chair?,that's a dog.,yeah.,that's a dog.,look at that little bird.,and then he's got a wagon.,we gotta get him a little something special for Christmas.,we're going to the house.
there's a bird.,look at the rabbit.,oh look at the big brown cow.,bird.,they're very big.,oh.,come on baby.,right.,that's a cat.,it's a peanut.,that's right.,you want to go with the dog.,okay.,well then you can sit on her lap.,how come they don't have a lot of food here.,look at this.,and then we eat.,and the pumpkin seeds.,well we have a nice little dog.,that's a cat.,oh look at that.,the ice cream cone.,where's mommy and daddy right now.,you wanna hear a funny story.,yeah they're really good.,and then they'll be happy.,yes he was just a little bit older.,it's a puppy.
bird.,a turtle.,little rabbit.,baby bird.,you're so clever.,oh.,there's a cat.,he's not ready.,oh look at the kitty.,yeah.,can you put your arms around me.,and the dog chases the cat.,do you wanna see a cat.,do you remember what it's called.,yeah.,look at this.,no.,that's right.,you could make him a little bit of food.,the cats can't go inside the house.,this is a house.,and they put that on the turkey.,the kids are all playing in the yard.,oh my goodness.,no.,can you put it on the table.,I think I have to go to the bathroom.,well.
there's a bird.,oh here's a horse.,oh.,that's a bird.,okay.,they're just a little toy.,what's that.,who's that.,yeah I got that.,he's gonna be a big baboon.,yeah.,and it will help your dog to play and to learn and to grow and to get better and better and better and better.,and it's the cat.,it's a big family.,yeah.,it's a little birdie.,I think we should have a family reunion in December.,what's that.,we'll just put it on the floor.,that's right.,yeah we have one.,it's very yummy.,I mean I think we're a very good family and we love each other and we're happy.,it's a family picture.,where's the pizza.,yeah.,that's right.,can you tell me how to do that.
a bird.,the panda.,kitty.,what's that.,oh.,you want to open the box.,we'll see a cat.,oh.,cats.,we're going to get some peaches and some grapes and some juice.,no we're not going to the store.,where's the bunny.,you're my friend.,we're having a party at your house.,you know the little kid from the movie.,there's a baby bear in there.,so do you think that's your daddy's shoes?,I don't think it's gonna work.,that's a dog.,we can go to the store and get some cat food.,you can't take the whole house.,you gotta have to have meat.,yes that's right.,mommy is really good at this.,you got the carrot.,okay.,well we're going to go to Grandma's.,yeah.
wanna hear a bird.,do you want to play with the dog.,you know you got a little bunny.,go look at the bird.,Mommy's sister.,this is a toy.,the cat.,oh it's time for bed.,that's not a kitty.,are you a good boy.,and you know that's how you're gonna make them.,well what's that.,I'm not sure.,well.,oh you're having a hot dog.,oh you're right.,no he didn't.,and the french fries.,there's a dog in the yard.,that's a cat.,that's what I thought.,and that's what the toast is called.,right.,no.,this is peanut butter.,you can't eat that.,and you're gonna sit here.,can you say dog.
bird.,yeah it's a fish.,what's that.,look at the bird.,you wanna have some more cookies.,yeah it's yellow.,it's a cat.,let's do that.,and a cat.,that's a nice taco.,what is that.,see that's the tail of the dog.,it's a cat.,you mean that Dad's got a little girl.,that's not the right way.,yeah.,well the other kids are going to see if they can find the gnomes.,no.,he's very hungry.,and a cat.,it's not there.,he's wearing a hat.,can I get up.,I'm going to show you the back of your t-shirt.,that's right.,you're gonna get a bowl and a spoon.,you know what.,you need to look at it.
there's a bird.,a lion.,wow.,do you want the birdie.,yeah.,that's a caterpillar.,cat.,the baby is sleeping.,what's that.,we're gonna get you a spoon.,you're the baby.,see.,oh.,Mommy was talking about the family.,no we're not.,where's your lion.,they're two sisters.,yeah that's right.,okay.,there's one.,oh no.,no it's not.,did I tell you that I'm making cookies with Daddy today.,hey what did you do.,what's that.,we're going to go to the pumpkin patch this weekend and we're going to get a pumpkin and we're going to make a pumpkin pie and we're going to eat it for dessert.,you're not gonna have a brother or a sister.,wanna have a little kiss.
hmm hmm.,oh look at the chickens.,that's a wolf.,that's a bird.,hm.,yes.,the cat goes.,"oh, oh.",cats.,you can do the thing with the juice.,it's all gone.,you said it.,it's so sweet to see the kitty's happy.,you know.,what did she do.,oh yeah.,and we're in a movie.,that's right.,you can sit on the dog's back.,oh here's a cat.,well we're going to get your crib ready to go in.,what.,it's okay.,oh my gosh.,okay.,you can have it with the yogurt.,and then he's going to work with his brother.,what do you think dogs do.
look at the bird.,what's that.,"and they're just like me, they have to have a home.",what's this.,look at that cute bunny.,who's in here.,wanna draw a cat with crayons.,oh you're doing a good job.,you think it's a cat.,they're in the cereal box.,they're not going to come to the party.,do you see the dog in the bed.,and we can take the cat to the park.,so you're just gonna be a dad.,we don't have to worry about that.,a hare.,I don't know what you mean.,I'll help you.,yeah you know they're not supposed to bite people.,that's a cute cat.,okay.,you gotta take the ice cream off the waffles.,that's the baby.,that's right that's right.,okay.,okay so let's get it.,oh my gosh.,okay.
what a cute little bird.,can you see the rabbit.,that's right.,yeah.,hey.,I think you're gonna put that there.,see that's a kitty.,no.,that's right that's a cat.,that's good.,and daddy and grandma.,you should not have the cat in your bed.,here's the cat.,oh that's really good.,well you can't put your food in your mouth until after you've had a drink.,you know.,that's what Daddy's job is.,yeah.,they're very big dogs.,the cat has fleas.,there's a table right there.,you can't have that.,she's not very good at sitting on the floor.,okay let's go home.,oh and it's gonna get really good soon.,yes.,I'm not sure.,do you see the dog.
it's a little birdie.,oh look.,do you wanna sit on a cow.,wow.,there's a family in the box.,do you see the bear.,there's a cat.,I'm not gonna say no because you know I love you and that's not a question.,you know the cat.,who's it for.,hey.,a cat.,you can just hold it in your lap and let it go in the grass and it'll run away.,you know what.,he has a little carrot on his face.,well he's like a little piggy and he's a pig.,and that's who you're going to visit tonight.,what does that say.,there you go.,I don't know how I feel about it.,you wanna have a tea party in your kitchen.,we got a tuna melt.,do you wanna eat a hot dog or a hamburger.,there's my aunt and there's my aunt and there's my aunt and there's my aunt.,I'm gonna make a little salad.,uh huh.,"you know, I'm not sure.",that's a big one.
there's a bird.,a horse.,he's a good boy.,what's that bird.,mommy.,and that's a truck.,huh.,what.,yeah we're going to read a story.,we're going to the grocery store.,yeah.,what's this.,you can't play with it.,that's right.,so I'm going to give you a couple of things.,okay you can see.,so do you think they're okay with it?,oh yeah.,oh that's right.,it's just a lion.,wow.,you can't eat that.,you know they go to work and then they come home.,what's the story of the day.,this is.,it's not a good idea.,yeah.,there's a dog in there.
it's a bird.,you got a cow.,they're not real.,a bird.,I'm sorry.,look at the truck.,that's a cat.,and then Mommy.,that's a cat.,you can put that in the trash.,and then when you're ready to get into bed you can take your nightie off and put on your pajamas and then you go to bed.,oh this is a picture of a dog.,it's really cold.,I'm gonna go find some people that have a lot of candy.,we're gonna have dinner.,oh there is a rabbit in there.,it's a big crab.,I'm sorry.,you're going to want to play with a dog.,look at this picture book.,there's the kitchen.,what do you think.,that's my brother.,what's that.,what's that.,okay we're gonna get you a little treat after you finish all the food that's left on the plate.,and then you can go on your way.,yeah.
birdie.,what's that.,hey look at this.,we're going to watch the birds.,yes.,are those two toys in there.,that's a cat.,there's a little girl in the picture.,a cat.,you can put this in the oven.,it's not okay.,yes.,where's the cat.,what's going on.,no.,the elephant is in the circus.,oh there's another one.,you wanna get it out of there and then we can eat it.,you're gonna put some water in there.,they're both black.,let's go look at the house.,did you want a drink of water.,you're not a baby.,oh yeah.,you know what I mean.,let's see.,you're gonna be a mommy too.,you see.
there's a bird.,that's a bear.,that's a duck.,little birdie.,okay.,there's a toy airplane.,the cat's going to jump over the fence.,there's mommy and daddy.,what's in the box.,that's an ice cream.,you can sit down.,you know what we have to do.,what's this.,so what's your family like.,do you want some more chicken.,oh you know what.,there's an old man.,hey baby.,okay.,oh that's your mommy's.,oh and I'll get a bucket of water to wash the outside.,I'm not sure that's what you meant to say.,I'm going to put on a little bit of lipstick.,did you remember what we're going to do.,yeah.,that's not in the oven.,and then Daddy comes back.,they're called dog biscuits.
look at the bird.,and he's a monkey.,you want to have a bunny hug.,there's a bird.,oh.,no.,oh yeah.,we need to get a bigger box.,and the kitty.,mhm.,you wanna play with the animals.,what's that.,where's the cat.,you see there's a daddy and a mommy and two little ones.,and a cheese wedge.,yes.,oh you're not really a boy right.,oh yeah.,what kind of dog do you have.,he's a really good guy.,I think there's a crayon on the wall.,yeah we'll get some more.,it's your family.,that's right.,it's so good.,okay.,so we all go to the zoo on Saturday.,this is a picture of a dog.
there's a bird.,what are they.,I have a turtle.,no bird.,there's Mommy and there's Daddy and there's the little girl.,what are these things.,yeah.,that's right that's right.,and the kitty.,who's that.,so he's got like a big brother and a big sister and a little brother and a little sister.,wanna go with the puppy.,yeah.,who's this.,a plate of crab cakes.,I think she's a dog.,you got a family.,you want some.,that's a puppy.,a cat.,she said that she really wanted to get the carpet cleaned because it was really dirty.,I'm going to go get some yogurt.,okay.,who's your daddy.,you wanna try some.,and then you eat.,I think it's a little bit better.,this is a great dog.
what a beautiful bird.,and that's a cow.,uh huh.,yeah there's a little birdie in the tree.,you can't have both of these.,okay.,oh my oh my.,and then they'll put them in the oven.,and the cat is sitting there.,I'm just going to give you some juice.,oh you want me to talk about my family.,let's say it. What's the name of that dog?,she's just looking at you.,they like to dance.,do you want some yogurt with your cereal.,I'm not sure.,I was with my mom and dad.,oh it's not a good time to put your feet on the table.,you need to be careful with the dog.,I wanna hold the cat.,did you put the baby in the crib.,okay.,what's his name.,what is your name.,you're gonna be on the floor in the bathroom.,I don't know.,they're just a bunch of friends.,this is a dog.
there's a bird.,can you say it.,what's that.,what's that.,we're gonna go to Grandma's.,that's right.,look at the cat's tail.,yeah.,he has a tail.,you can have a bit of cheese.,right.,wanna go play with your dog.,do you know how to draw a cat.,you know how to do it.,well I mean you can't eat all the ice cream and then you can't eat all the pie.,yes.,it's very nice.,I'm going to read to you about what's in the cart.,it's a baby dog.,see what's under there.,let's find out what they're going to do with this book.,oh it's gone.,okay.,what.,do you want a drink.,it's like a little piece of cake.,who do you think I am.,you wanna have some cookies with the dog.
you like birds.,can you say goo goo.,you gotta go see the penguins.,bird bird bird.,what's this.,okay.,yeah.,do you remember your grandma's name.,oh look at this cat.,that's the toast.,mommy.,you know what they say.,and then.,that's right.,oh.,yeah.,and grandma and grandpa and aunt and uncle.,you've got some lemon juice on the toothbrush.,oh we're gonna play with the dog.,here's a kitty.,no no you have a big bed there.,you know what we're going to do.,you need to get some more.,and we're gonna go to the beach.,and I'll eat them too.,you can eat your food.,oh what's that.,you see it has a tail that's wagging and it wags its tail when it's happy.
