3 Months,6 Months,9 Months,12 Months,15 Months,18 Months,21 Months,24 Months,27 Months,30 Months,33 Months,36 Months,39 Months,42 Months,45 Months,48 Months,51 Months,54 Months,57 Months,60 Months,63 Months,66 Months,69 Months,72 Months,75 Months,78 Months,81 Months,84 Months
here's the bed.,and it's a cow.,look at all these blocks.,wanna get a bird.,yes there's a car.,yeah.,you can't see the dog.,we're going to put the carpet back on.,right.,a bird's a bird.,well it was his little baby.,and then the cat sat.,I'll take care of the car.,it's nice that you're getting new clothes.,okay.,and I'm gonna take you to see what's underneath.,we're gonna try to get a little one with this.,we'll be able to see if there's a dog.,oh I've got my cat.,we're going to take the car to the car wash.,the cat's name is Pumpkin.,they're kind of like cows.,there's no gas in the tank.,what do you want.,yeah.,okay.,do you wanna sit on it.,well how about that car.
there's a house.,right now he's sleeping.,oh you're gonna have to come over here.,wow that's a big bird.,a car.,and daddy and mommy.,yeah the dog's name is Lucky.,that's a door.,let's see what we can find.,oh bird.,okay.,and here's the cat.,you're gonna need another one.,I think it's a good idea.,okay.,you have to be careful not to fall down on your head.,well.,that's a good dog.,yeah she's a cat.,that's it.,yeah.,see the little duckies.,you gotta put the pedal down so the car can go.,I'm sorry.,right.,I love giraffes.,he's got a very loud and big bird.,that's a truck.
where's the cat.,wanna pet the cat.,and now we're going to take a little break from the dog.,oh no.,hm.,you need to get some water.,uh.,oh okay.,wanna see some animals.,I have to take my clothes off.,see.,I can't wait to see you next week.,what's that.,he's got some.,yeah.,I'm sorry.,the big red car.,it's a little bit like a pigeon.,okay.,okay let's go back.,you know that's a toy car.,that's right.,yeah he's a good boy.,where did you get that.,that's it.,wanna give him a kiss.,you can tell them.,it's not a car.
cats are cats.,I like to pet the cat.,dog.,what's that.,you eat.,it's kind of a strange looking one.,no he's got a tummyache.,here.,where's the elephant.,that's what you say.,the caterpillar crawled to the top of the tree.,oh no.,wanna see the dog.,can you find me the cat.,yeah it's a house.,and the red car goes around and around the road.,okay.,it's a chicken.,I'll get you some more milk.,no we can't do that.,I'm gonna give her some.,what are you reading.,oh hey that's a dog.,okay.,I think this is a cat.,the cat.,they're all good people.,he's driving a car.
come on let's go see the cat.,cat.,there's a dog.,what's this.,you have the bowl.,who's that.,it's spaghetti and meatballs.,you like this.,wow.,that's your Dad.,and we can all go.,what's the name of the big man.,they had some problems with that.,that's a snake.,oh this is your kitchen.,okay okay you're okay.,well you can try it out.,that's a red bird.,a little bit of this and a little bit of that.,"yes, the car has four wheels.",okay.,oh.,I'm going to put a bandana on her head.,I'm going to make some soup.,a cat.,we have a cat.,oh he's in the hospital.,it's a car.
and the cat's tail.,come on over.,bark.,okay.,nope.,you're going to eat a piece of cheese.,here's some.,you're so happy.,that's a bunny rabbit.,yeah.,I'm glad you're not hungry.,you're just a baby.,I'm so happy that you got your first dog.,what's in there.,you'll find a lot of people living here.,okay okay.,oh this one's a clown.,it's a bird.,you're going to eat this banana.,okay.,I'll try.,that's right.,well that's a great idea.,you can put the meat on it.,this one's a cat.,well you can't get the cat out of the box.,and I'll have my own.,uhhuh.
oh you're a big boy cat.,it's a kitty kitty.,where's the dog.,they're bouncing off the wall.,they're in the oven.,who's in the kitchen.,okay let's try again.,and here's a new one.,look.,that's good.,what is that.,you gotta go in the bathroom.,oh yeah.,I'm going to make a turtle.,we're going to the grocery store to get the things we need for the house.,and the steering wheel is the part you use to turn the car right and left.,I don't know.,you're not gonna eat that.,they're onions.,okay.,uhhuh.,he's so little.,well he's pretty good at fetching but he's not very good at walking the dog.,how about some cereal.,what.,it's called a kitty.,that's okay.,look at the wheels.
what's this.,there you go.,look at that cute little dog.,you're gonna go to the trucks.,yes.,well.,oh look.,they have some fruit in them.,and then the bunnies.,who's this person.,you're looking at the elephant.,you're right.,the dog came.,the horse is in the barn.,well there's the bed and the dresser and the mirror and the bookshelf and the fridge and the tv.,you want me to take you where?,okay now they're in the box.,look at the bird.,what's in that.,I see. I like the trucks.,this is the best thing in the whole world.,look at those little monkeys.,they have two little puppies.,yes.,you want to go get the kitten.,a cat.,you know what's funny.,that's a good car.
here's a kitty kitty.,that's a cat.,come on.,bang bang.,here's the egg.,okay.,no you can't.,yeah you can put it in there.,what's a cat.,that's a sweetie.,it's a frog.,okay let's go and get some food.,what do you say when you're at the park with your friend.,you can't go to the zoo with a stuffed animal.,a carpet.,they're both in the backseat of the car.,do you wanna play.,you know what.,what's on this.,yeah.,you can use this one to get them in the box.,and he eats his breakfast.,do you know what that's called?,there's another cup.,hey what's this.,that's a good idea.,that's your dad.,uh huh.
kitty kitty.,c'mon.,yeah.,what do you have.,yeah.,okay I'll put it on the table and you can take a bite.,you got a banana.,you don't need to put on so much.,yes.,do you like a little girl's name.,oh look at the caterpillar.,what does she say.,oh you're just so silly.,the goat.,yeah I'll tell you what.,oh they're called car tires.,you gonna have to have the truck come out of the box to put it in the playhouse.,I see a bird.,it's not a good idea to eat the bread.,there you go.,I'm going to get some toys out.,wow.,oh my goodness.,okay.,do you know how to say cat in French.,yeah.,oh it's a great idea.,it's so funny.
I don't think we have a cat.,where's your cat.,here's a dog.,you have your toy.,this is a carrot.,okay.,they're good.,do you like cheese.,yeah he's sleeping.,and we have three little kids in our family.,you can look at the cows and their baby cows.,it's a house.,what's this?,yes.,yeah.,okay.,here's your truck.,you want to say.,here's a little cup of water.,the car.,it's a big red ball.,can I help you.,we need to get the doggie.,oh I see.,they like to have cat treats.,oh that's so good.,you know what a dad does.,yeah.
and we're going to put them in the box.,kitty.,look at this big brown dog.,put it back.,well.,yes.,who's that.,let me get the food.,he's got a wolf.,I'll give it to you.,yeah.,oh that's not right.,you're gonna be a good boy.,and he's a big bear.,it's your house.,well let's see.,there's a little doll.,a parrot.,how do you say mushroom.,wow.,okay.,okay.,right.,they're not ready.,you can't play with them.,I love cats.,okay.,a truck.
and see.,look at the cat.,oh.,look at this one.,what is that.,let's put this in the oven.,we don't put that in our mouths.,that's right.,and a bee.,did she have a car.,what.,yeah we went to grandma and grandpa's house and we had dinner with them.,uhhuh.,they like to eat the little birds and fishes and they eat them and they eat them and they eat them and they eat them.,you go to school in the morning.,go get a toy car for me.,there's a little boy in that one.,"oh, you have a beautiful bird.",yup.,wow wow.,and then we got a box and we opened it and there were all these boxes and there was a box of crayons.,that's a bird.,they're called labs.,where's the food.,and they're called kittens.,oh what's this.,and what does she do.,oh I think we're in the car.
you want to put the cat back in the box.,it's a cute little cat.,the dog is looking for you.,they're playing in the sandbox.,look at the cereal.,yes that's right.,no honey.,they're gonna go on.,I see a squirrel.,you're right.,oh yeah.,oh I'm not going to the playground I'm not going to the playground.,oh.,do they have any hair.,yeah.,and it's like this.,so what else did you play with today.,we're going to see the hawk.,it's just a little bit.,what is that car.,they're all right.,I'll be right back.,what's that dog doing.,it's really good.,no no no.,I'm going to make a cat out of this.,can we get some.,car is what you ride in.
can you see the cat.,and cats.,oh yeah yeah yeah.,it's a little ball.,and what are we eating.,well she's a big girl.,here's some bread.,here's your rice.,you see the elephant there.,the cousins and the grandparents and the aunt.,yeah I bet.,that's right.,that's the puppy.,yeah you can get a little one.,it's really hard to get to your feet.,I'm gonna try and get you in the car.,you're gonna go to the store and get the ones you want.,bird.,yeah.,what's this car.,I don't know what it is.,there's a bird.,oh that's right I remember.,that's it.,the cat was a baby.,what's that.,so they're going to be there.,look at the car.
there's a cat.,it's a cat.,what's that.,I'm gonna get a ball.,and a piece of chicken.,do you see that.,I don't know what you're doing.,look at the banana.,that's a bunny.,okay.,they're both mice.,there's a baby.,oh he's going to the vet.,oh yeah.,okay.,he's gonna get on the back seat.,do you remember who's gonna go in the back.,you could make it with a feather.,they're very sweet.,what do you think the car does?,you'll have to be careful with the ones on the table.,I'll put them all together now.,that's a good idea.,hm.,they're kittens.,it's a girl cat.,yeah.,nope.
cat.,come on over.,oh my goodness.,it's a truck.,you can eat it.,pea soup.,that's a tomato.,do you like those.,do you have a lamb.,no.,that's right.,I'm going to see your daddy now.,oh.,look at the ducks.,can you put it back on.,look at your hands.,they have two eyes and they are in this box.,you got it.,yep.,go ahead.,you'll need to pick one of those up.,I'm just going to read the book.,that's a dog.,that's good.,and you can sit on the couch.,a cat.,hey buddy.,look at the cars.
oh where's the kitty.,oh that's a cat.,can you say dog.,you gonna throw it.,okay.,good.,look at that.,what are you drinking.,this is a lion.,it's okay.,they're going to get you.,they were just coming home from a party.,that's a poodle.,okay.,so let's see if we can get your whole family in the house.,uh what's the car.,no.,bird.,yeah.,okay.,you're right.,oh that's not a dog.,oh yeah.,did you make that.,oh she's so sweet.,you gotta be very careful with the cat.,how did you meet them.,there's a car.
oh a cat.,he's a kitty cat.,he's playing with the dog.,there's a ball.,you get a cookie.,yeah that's a banana.,good.,the baby is getting ready to eat.,what kind of fish is that.,and the family is.,that's a bunny rabbit.,did they say thank you to the people they saw.,he's so big.,look.,can you make a bed.,you know it's okay.,it's a truck.,he goes down to the bottom of the pool.,do you think that's some kind of meat.,car.,no.,you know what? they're very interesting.,look at that dog.,that's right.,what's in the basket.,he's a very very good boy.,they're not.,what's that.
yeah.,oh a cat.,yeah that's a dog.,see that.,do you want to give it a hug.,yeah.,wanna have some more.,you're gonna have some.,they're both in the zoo.,let's call daddy.,there's a squirrel.,well then let's put on your shoes.,I don't know that dog.,you want me to give you some of that pink.,I'm gonna take your jacket off.,you wanna hear about the car.,it's like a bubble wrap.,I'm not sure what kind of bird it is.,we're going to get out.,I can't even.,a baby doll.,it's a bunny.,oh that's not your dog.,what's this.,I think it's a kitty.,oh.,yeah.,oh and what do you see on the back of this car?
you're like a big cat.,yeah a cat's a cat.,what's the name of that dog.,look at that.,can you get him.,let's put it in the oven.,and the other one.,here's some carrots.,you know you're going to get a dog.,who's mom.,oh those are the people that live in the park.,so we went to the zoo.,there you go.,okay.,you can put it on the chair.,that's a car.,okay.,a hawk.,the potatoes.,okay we can take a picture of the car.,this is a little green frog.,right.,and she's going to come to visit us.,oh yeah we had a salad.,he's a kitty.,that's a pussy cat.,that's right.,see the seats.
cat.,here's your cat.,oh my dog.,good job.,here's an apple.,you can't eat the egg.,you can have some fruit.,do you remember what we said about the cake.,okay.,who's that.,and a bear.,oh.,yeah they're both in the yard.,yeah.,she's got her bed.,yeah it's got to be the car that's the only one that's got a whole bunch of wheels.,let's see what we can do.,there's a little bird in the tree.,what's that.,it's so fun.,I'm going to put the cars on the train.,okay.,that's a good dog.,you're right.,what's the cat doing.,oh no.,oh no.,you're going to be my driver.
I don't have any family.,we gotta get a birdie.,honey.,I like cats.,oh I see you have a little dog.,yeah.,see.,kitty.,I see a cat.,look at the bird.,yes.,you have a cat.,where's the potato.,yeah.,you wanna play with those.,what do you think the bird does when it sees a cat.,that's a big dog.,oh you see that's a water tap.,and a piece of apple.,okay.,they don't work.,where did you say mommy went to work today?,you can tell them they're birds.,I'm gonna put it in the box.,a lot of animals have fur.,no they're not going to eat me.,yeah.,oh that's a car.
you know what he does.,we can get a book.,and then there's Dad and Mommy and me and the cat.,kitty kitty kitty.,that's a pretty dog.,he wants a new one.,oh.,I'm not sure what it's doing.,oh okay.,see the birds.,no.,the cat is climbing up the tree.,it was really nice and yummy.,bird.,I'm gonna sit down on the floor and take them all out.,it's a bluebird.,that's a good dog.,they can't make that.,yep.,no you're not supposed to eat them.,what's that.,oh I know exactly what you mean.,I think it's a robin.,that's a train.,no I didn't get it.,okay.,this is a dog.,see the lights.
what's that.,it's a birdie.,I don't know.,see the cat's tail.,what a good dog.,yeah that's a toy car.,there you go.,look at the cat.,do you like the cat.,"yeah, and then the baby birds are going to be born.",yes you can do that.,and that's a cat.,do you have any other ideas.,what is this one.,what's that.,bird.,see what's in the bag.,it's a very pretty house.,this is a little cupcake.,I have some paper that you can write on.,and that's a big doll.,that's right.,it's a robin.,no.,oh I know what she is.,did the lion eat the zebra.,I love dogs.,what's it called.
what's your brother's name.,here's a little bird.,that's your sister.,a cat.,come over here.,that's a house.,you get a lot of toys.,I got a cat.,he's not a kitten anymore.,there's a bird on the roof.,I'm gonna put a little bit of this on.,you know what we need to do.,we have cereal and milk.,wow.,look at the car.,oh no.,you know.,a little boy and little girl.,it's the same as when you were little.,okay.,yeah you can see this one.,oh I'm going to go take a picture of you and daddy and Mommy.,hey there what bird is that.,can you tell me about that.,do you want me to read it to you.,what's that.,that's a big dog.,well you're just gonna have to wait for Daddy.
you got a mommy and a daddy and a brother and sister.,a bird is sitting on a branch.,you're a very good girl.,I'll go get it.,this is a big dog.,and put the other one in the box.,that's a car.,yes.,there's the cat.,there's a bird in the air.,I think the two children have something in common.,oh we've got a cat.,it's called bubble gum.,you're gonna be okay.,okay.,this is a bird.,what's this.,and we're going to make the house.,you know what I mean.,you want to put it in the corner.,and then they would just lay on top of the toys.,what's that.,uh.,it's a toy.,right here.,what's that.,they're so cute.,yeah.
well you got a big brother and a big sister.,you can see it.,and your brother.,that's a kitty.,what's that.,hey little guy.,and I'll put them all on the table.,and they're going to get out and they're going to get lost.,the cat.,what's the bird.,yeah.,can I go to the park with you.,it's all right.,uh huh.,see the toys on the floor.,where did he go.,oh okay.,wanna go outside and play.,you have a little bit of this and a little bit of that.,let's make a little house.,okay let's put that away now.,"no, I just want to say that I love you.",it's a bird.,can you get your pink and white doll.,okay.,what's this.,so that's the one that the police got in trouble with.,wanna put it back in the car.
I love you.,and a bird.,we're gonna go play.,that's a cat.,come here.,it's just a stove.,I think you're ready to go outside.,it's a kitty kitty.,he's a little boy.,there's a bird.,yeah.,there's a cat.,and that's a nice thing to drink.,a robin's a beautiful bird.,and they're called play horses.,a duck.,where's the dog.,yeah.,and it's going to go on my head and my face and my body.,it's a house.,so that's what it's like.,yeah.,the little bird is having trouble flying.,what's this.,what are you looking at.,and then the cats.,she's a nice dog.,you get in the car.
that's right.,there's a bird.,yeah I think I know.,and now we're gonna have a little cat party.,"yes, that's right.",you're going to take a bath right now.,this is a doll and this is a bear.,oh that's a big cat.,that's a cat.,where's the bird.,and mommy's got some friends who's going to be there too.,no it doesn't.,you want to get it out of there.,they like to eat seeds.,"oh, I forgot the bunny.",what kind of bird is it.,what are they doing.,you can.,and I'm gonna make you a peanut butter and jelly sandwich.,the bedroom.,we're gonna read to her.,oh look at that.,a hawk.,okay.,I know.,what about the monkey.,that's right.,they're in the garage.
oh that's your aunt.,he's a bird.,you're my sister.,oh my goodness.,doggie.,yeah.,you've got a truck.,yeah.,a little kitten.,there's a bird sitting in the tree.,you're gonna put the book on the table.,oh yeah.,so I'm going to take you and I'm going to show you what it's like to get in the car.,there's a bird.,oh.,he's a little duck.,let's put on your hat.,he's gonna turn on the lights.,you need to wait for the rest of the meat.,you're gonna be like a pirate.,can you play with the toy.,we have a mom and dad.,no bird's name yet.,the cars are the wheels.,she is a crab.,no I mean the bunny.,okay let's get some bubbles.,oh.
okay let's go get Mommy.,a little bird.,here's your father.,wow.,what's that.,come here.,can you say.,what's this.,this is the cat.,it's a black and white bird.,you're right.,and then there's a cat.,we can have some.,we're going to put a bird in the birdhouse.,right.,he's just sitting down.,and the dog's name is Fluffy.,okay.,where did you put it.,you know what I love to do is to make the house clean and tidy.,yeah they're in the playroom.,who's that.,what's that bird.,you know what that's like.,what about.,wanna make them a little.,where's the dog.,you wanna go on the car ride.
yeah.,oh that bird has a little beak.,yeah they're pretty sweet.,wanna put the cat on the table.,look at the dog.,here's your book.,oh.,you like that little cat.,cat.,oh look at the birds.,I see.,wanna see this.,do you know what we're going to do with this.,see the blue jay.,hey look at this.,see the bird in the nest.,oh yeah.,you've got some of my candy.,and then I'll pour it.,how's the toilet working out.,I don't think we'll need that.,Mommy and Daddy.,we have a bird book.,oh that's a toy car.,I'm trying to remember what the animal's name was.,look at all the little pets.,they are very well trained.,let's get the car out of the garage.
oh you're right.,a bird.,yeah that's right.,okay.,do you see that dog over there.,there's the bed.,we're gonna make the cars come in here.,there's a cute kitty.,well you know what you can do is you can put that cat in the crate and put him up on the counter.,you know what.,and we don't talk about them too much.,no it's not a cat.,you need more bread.,that's a bird.,you know what.,"oh, a sparrow.",a dog.,you're not supposed to do that.,he's eating.,"oh, that's a good idea.",look.,oh yeah.,and then they fly.,yeah.,you're a good animal friend.,he's a bunny.,there's a dog right here.,let's see. let's see. let's see.
"Mommy's family is made up of me, Daddy and you.",it's a little blue birdie.,and then Daddy's here.,do you see the cat.,yeah.,what are you doing.,you can put them in the box.,there's a cat sitting on the porch.,there's a cat.,bird.,it's a very nice house.,it's very cute.,I'm not hungry.,what's this one called.,it's a toy.,it's a robin.,you know it's funny how the dog barks at nothing.,"okay, what's another thing that's in your house.",this is for your lunch.,where are the keys.,he has a toy train.,okay.,it's a big bird.,oh.,where's the bunny rabbit?,that's right.,do you think he's a boy.,right.
and mommy.,oh a bird.,do you want a hug.,you're gonna have a big cat.,yes you can have a bone.,you know.,go on.,cat.,you have a cat.,he's a hawk.,and we have some pictures.,okay.,okay.,the little chick was so tiny and yellow.,I think you have all these.,this is a bird.,it's a dog.,how many rooms are there.,"well, I think we're going to have something for dessert later on.",and you'll have a nice clean bathroom.,oh that's right.,did you go see Mommy.,you know when a bird sits on a telephone wire and you can't hear it because the phone is off.,okay.,and they are all kinds of animals.,this is a good question.,that's a cute dog.,I wanna see the car.
who are you and who's that.,wow look at the bird.,they're going on a cruise.,cats are like kittens.,oh look at the dog's tail.,they're in the house.,I think you wanna have a cup of water.,there's a little kitty.,oh.,what's that.,yeah.,that's right.,oh that's a nice cake.,yeah it's a bird.,"yeah, this one's for you.",that's a cardinal.,and they're gonna be going down the street.,I washed the car.,and it's a good meal.,can you move that to the side and put this on the chair.,you know what I mean.,yeah.,yeah you know what I think they do is they're like these big kids in school they have all these friends they have these big friends.,oh.,where's the bunny.,you don't like it.,we have a dog.,yeah.
that's right.,oh look at the bird.,that's the dog.,cat.,go and put it on your bed.,and then we'll go to the library.,there's a little boy in the book.,come on.,that's a cat.,there's a bird.,they're both good friends.,oh look at the cat's tail.,okay.,you want to go outside.,what is that.,yeah there's a bird over there.,what's that dog.,where's the dog.,okay.,this is a house.,oh they're gonna be very pretty.,okay.,bird.,let's go get them.,no they're not.,you're very good at telling what the animal's name is.,wanna go get the dog.,right.
you know you're gonna be a big brother.,a bird.,can you see Mommy's hair.,that's a cat.,no.,where's the bedroom.,you can't play with that.,and then they'll be a big happy cat.,what's that.,little birdie.,okay now I'm gonna start to talk about my family.,they're going to the vet.,I'm sorry.,you're going to get a big surprise.,you gotta do it.,that's a hawk.,right.,and then you can put your toys on the table.,that's a good idea.,let's go out.,okay.,who else is in the family.,he's sitting on a branch.,yeah.,here's another one.,the penguin.,I'm sorry.,oh.
and they're all family.,there's a little birdie.,you want me to get you a baby doll.,we'll get you a cat.,where's the dog.,and now we can sit and read books together.,you can put them in.,look at the kitty.,I'm going to give you the cat to look at.,bird.,you have a sister.,cat.,you know when you eat you have to take a napkin.,I'm not sure what kind of bird it is.,okay.,that's a robin.,it's a dog.,I don't think so.,no that's not a banana.,I'm sorry I'm in the kitchen.,you gotta get it back.,the daddy and the mama.,it's a bird.,you're gonna take your toys out of the bag.,what's a cow.,there's a dog.,they're a nice big dog.,there's your car.
you're right.,look.,do you see Mommy and Daddy.,oh look at the cat.,see.,we're gonna have a house party.,what does it say.,you've got a cat.,she's a girl cat.,what's that.,are you hungry.,we're going to play.,yeah.,a bird.,the train went.,where's the bird.,you want a dog.,oh that's not funny.,that's a very nice picture.,we'll just put it on top of the fridge and the kitchen table.,I'm gonna make this one for you.,can you put them back.,yeah.,there.,and you can get a pet.,yeah.,that's a puppy.,and then go down the road.
hey.,bird.,and Daddy.,yeah.,and a dog.,put your feet up.,and now you have all the toys.,the kitty is scratching up my arm.,and the cat has a tail.,where is the bird.,you wanna play with the family.,oh.,I don't know.,well they're birds.,that's it.,it's a little bit of a big bird.,it's a big dog.,I'm sorry.,it's gonna be a good meal.,you put it in there.,oh that's good.,yeah we don't have any.,look at this one.,they're not in the room.,you like cats.,we should get the bunny out of here.,they're both big dogs.,and then you drive your car to the grocery store.
